"Code du chapitre SH";"Libellé du chapitre SH";"Code du groupement d'utilisation";"Libellé du groupement d'utilisation";"Code de la section CTCI";"Libellé de la section CTCI";"Poids en KG Janvier 2000";"Poids en KG Février 2000";"Poids en KG Mars 2000";"Poids en KG Avril 2000";"Poids en KG Mai 2000";"Poids en KG Juin 2000";"Poids en KG Janvier 2001";"Poids en KG Février 2001";"Poids en KG Mars 2001";"Poids en KG Avril 2001";"Poids en KG Mai 2001";"Poids en KG Juin 2001";
"55";"FIBRES SYNTHÉTIQUES OU ARTIFICIELLES DISCONTINUES";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"3986647";"5315144";"5165869";"4797793";"6715860";"6183352";"6291218";"5541653";"5117654";"5498688";"6291633";"6509700";
"56";"OUATES, FEUTRES ET NON-TISSÉS ARTICLES DE CORDERIE";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"488320";"752199";"584854";"503451";"770574";"903319";"719736";"622760";"636459";"752368";"887843";"1232937";
"56";"OUATES, FEUTRES ET NON-TISSÉS ARTICLES DE CORDERIE";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"150154";"61125";"173860";"195692";"124662";"110165";"110549";"57352";"82279";"121148";"124569";"84636";
"56";"OUATES, FEUTRES ET NON-TISSÉS ARTICLES DE CORDERIE";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"595937";"521365";"631394";"657107";"824238";"757413";"439421";"384631";"593345";"739422";"546111";"830923";
"57";"TAPIS, AUTRES REVÊTEMENTS DE SOL EN MATIÈRES TEXTILES";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"55638";"81224";"60997";"73278";"78199";"61878";"60653";"78880";"45199";"79029";"38403";"50914";
"57";"TAPIS, AUTRES REVÊTEMENTS DE SOL EN MATIÈRES TEXTILES";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"380569";"316879";"519677";"343757";"317160";"456344";"235210";"494256";"342985";"344893";"348457";"371915";
"58";"TISSUS SPÉCIAUX, DENTELLES, TAPISSERIES, BRODERIES";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"404734";"541756";"671433";"690530";"1031671";"1039487";"494913";"620643";"624195";"914987";"1158714";"1157297";
"58";"TISSUS SPÉCIAUX, DENTELLES, TAPISSERIES, BRODERIES";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"184687";"282759";"288317";"274996";"336225";"289671";"256758";"212466";"251372";"293892";"283813";"313385";
"59";"TISSUS IMPRÉGNÉS, ENDUITS, RECOUVERTS OU STRATIFIÉS";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"2109";"3999";"224";"1728";"1724";"4006";"15279";"11683";"12125";"9152";"1528";"1425";
"59";"TISSUS IMPRÉGNÉS, ENDUITS, RECOUVERTS OU STRATIFIÉS";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"371186";"189972";"406705";"167726";"325063";"299994";"415714";"70080";"22873";"40758";"17725";"72966";
